transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned
T0000001,2023-08-02,P004681,S004,C010043,3,0.0,0
T0000011,2023-10-17,P022378,S003,,3,0.1,0
T0000013,2023-01-21,P039287,S004,C003825,1,0.0,0
T0000015,2023-04-24,P004069,S003,C003101,2,0.1,0
T0000023,2023-05-17,P029378,S004,C014336,4,0.0,0
T0000025,2023-02-23,P020684,S003,C006404,1,0.0,0
T0000028,2023-08-23,P004993,S002,C013077,3,0.0,0
T0000029,2023-12-07,P035487,S002,C002945,4,0.1,0
T0000030,2023-01-21,P025703,S005,C017670,2,0.0,1
T0000034,2023-04-21,P023648,S004,C010896,1,0.1,0
T0000042,2023-11-30,P001126,S004,C021434,3,0.0,0
T0000057,2023-05-21,P049276,S002,C009237,1,0.0,0
T0000063,2023-01-03,P014455,S005,C016297,4,0.0,0
T0000067,2023-02-04,P024326,S001,C024711,1,0.0,0
T0000070,2023-07-11,P039757,S001,C001909,3,0.2,0
T0000071,2023-06-20,P039162,S002,C023513,3,0.0,0
T0000075,2023-03-28,P000691,S002,C008004,2,0.0,0
T0000077,2023-12-13,P021780,S004,C022485,3,0.0,0
T0000080,2023-09-16,P999999,S003,C020459,4,0.0,0
T0000092,2023-07-25,P045322,S001,C014137,3,0.0,0
T0000099,2023-10-04,P018768,S001,C018143,4,0.0,0
T0000101,2023-12-08,P010364,S005,C003700,4,0.0,0
T0000102,2023-10-31,P045999,S005,C013615,2,0.1,0
T0000103,2023-08-20,P000999,S001,C004769,2,0.0,0
T0000105,2023-06-01,P005257,S003,C019243,2,0.2,0
T0000106,2023-07-24,P024551,S002,C013947,1,0.0,0
T0000115,2023-08-03,P000175,S001,C021497,4,,0
T0000116,2023-11-10,P046361,S003,C019107,3,0.0,0
T0000117,2023-02-14,P011631,S003,C004613,1,0.0,1
T0000119,2023-11-03,P010269,S002,C000877,1,0.0,0
T0000134,2023-03-07,P025195,S004,C016960,2,0.1,0
T0000139,2023-09-04,P032090,S002,C004346,4,0.0,0
T0000143,2023-08-09,P010596,S005,C020810,4,0.1,0
T0000150,2023-02-23,P025562,S005,C015504,2,0.0,0
T0000151,2023-01-08,P002241,S004,C011680,2,0.0,0
T0000154,2023-04-12,P031588,S002,C021494,3,0.1,0
T0000156,2023-04-10,P025587,S004,C001883,4,0.0,0
T0000169,2023-07-09,P010595,S004,C017938,3,0.1,0
T0000172,2023-10-25,P033285,S004,C024393,3,0.0,1
T0000174,2023-05-06,P030796,S002,C015400,2,0.0,1
T0000178,2023-05-05,P021337,S002,C011612,4,0.0,0
T0000182,2023-02-07,P040414,S002,C005660,2,0.2,0
T0000185,2023-10-25,P016745,S001,C001405,4,0.1,1
T0000188,2023-10-28,P033158,S004,C011826,4,0.0,0
T0000190,2023-01-04,P002933,S003,C012810,1,0.0,0
T0000194,2023-08-05,P005108,S005,C024577,2,0.0,0
T0000212,2023-07-04,P049247,S003,C000441,3,0.1,0
T0000215,2023-08-01,P023565,S999,C018205,3,0.0,0
T0000217,2023-06-01,P001905,S001,C011218,2,,0
T0000223,2023-01-09,P016312,S002,C003293,2,0.0,0
T0000227,2023-05-11,P015014,S003,C011843,3,0.1,0
T0000241,2023-03-07,P034280,S004,C005582,4,0.3,0
T0000253,2023-09-13,P031159,S001,,1,0.0,0
T0000255,2023-01-30,P022447,S001,C005745,4,,0
T0000260,2023-05-27,P010914,S003,C007439,3,0.0,1
T0000263,2023-01-09,P044134,S005,C005182,2,0.1,1
T0000266,2023-11-13,P035220,S003,C022501,1,0.0,1
T0000268,2023-12-31,P023727,S003,C024115,2,0.0,0
T0000271,2023-10-07,P038541,S001,C010293,2,0.0,0
T0000272,2023-08-23,P022560,S004,C023825,2,0.3,0
T0000283,2023-04-19,P005109,S001,C013990,1,0.0,0
T0000284,2023-02-08,P021020,S004,C009361,3,0.1,0
T0000286,2023-04-20,P027428,S001,C020487,3,0.1,0
T0000290,2023-12-20,P008077,S002,C010544,1,0.1,1
T0000291,2023-07-16,P029928,S004,C017389,4,0.3,0
T0000302,2023-10-02,P037525,S003,C000560,3,0.0,0
T0000305,2023-01-09,P024254,S003,C003493,1,0.0,0
T0000309,2023-03-15,P040121,S003,C006196,2,0.0,0
T0000310,2023-03-26,P019421,S001,C022321,4,0.2,0
T0000320,2023-09-11,P034074,S001,C007096,3,0.0,0
T0000329,2023-10-11,P041900,S003,C012122,1,0.1,0
T0000330,2023-08-31,P043574,S002,C005921,3,0.0,0
T0000331,2023-08-16,P039574,S003,C001816,4,0.1,0
T0000343,2023-01-03,P026931,S004,C004418,2,0.0,0
T0000357,2023-02-01,P005300,S002,C012928,4,0.2,0
T0000360,2023-08-28,P027400,S001,C003856,4,0.0,0
T0000361,2023-01-12,P005776,S005,C017717,2,0.0,0
T0000386,2023-11-27,P009214,S999,C009411,2,0.0,0
T0000389,2023-02-12,P044746,S004,C009691,3,0.0,0
T0000390,2023-09-17,P031680,S004,C009751,4,0.1,0
T0000398,2023-04-01,P027945,S001,C011311,3,0.0,0
T0000400,2023-01-15,P005023,S005,C011459,3,0.2,0
T0000406,2023-04-11,P008515,S004,C023441,4,0.3,0
T0000418,2023-05-03,P049311,S003,C022226,4,0.0,0
T0000420,2023-10-14,P044299,S002,C024104,4,0.0,0
T0000426,2023-03-12,P006302,S001,C021707,3,0.0,0
T0000428,2023-03-31,P034577,S002,C012176,1,0.0,0
T0000429,2023-05-02,P032298,S002,C007464,3,,0
T0000431,2023-06-22,P029345,S001,C000131,4,0.1,0
T0000434,2023-09-08,P019963,S003,C015868,4,0.1,0
T0000435,2023-04-10,P041764,S001,C000103,2,0.0,1
T0000436,2023-03-03,P024880,S004,C022211,2,,0
T0000441,2023-10-03,P041365,S005,C021231,2,0.0,0
T0000448,2023-10-07,P007702,S003,C014746,1,0.1,0
T0000449,2023-08-14,P009326,S003,C010265,1,0.0,0
